Start Experiment
Epoch 0
Validation accuracy:0.6855241264559068
Testing accuracy:0.7419642857142857
Epoch 1
Validation accuracy:0.7138103161397671
Testing accuracy:0.7455357142857143
Epoch 2
Validation accuracy:0.7237936772046589
Testing accuracy:0.7767857142857143
Epoch 3
Validation accuracy:0.7371048252911814
Testing accuracy:0.775
Epoch 4
Validation accuracy:0.7554076539101497
Testing accuracy:0.7785714285714286
Epoch 5
Validation accuracy:0.762063227953411
Testing accuracy:0.7857142857142857
Epoch 6
Validation accuracy:0.7554076539101497
Testing accuracy:0.775
Epoch 7
Validation accuracy:0.7603993344425957
Testing accuracy:0.7758928571428572
Epoch 8
Validation accuracy:0.7487520798668885
Testing accuracy:0.7723214285714286
Epoch 9
Validation accuracy:0.7587354409317804
Testing accuracy:0.7633928571428571
Epoch 10
Validation accuracy:0.7687188019966722
Testing accuracy:0.7705357142857143
Epoch 11
Validation accuracy:0.7653910149750416
Testing accuracy:0.7696428571428572
Epoch 12
Validation accuracy:0.7770382695507487
Testing accuracy:0.7705357142857143
Epoch 13
Validation accuracy:0.7637271214642263
Testing accuracy:0.7669642857142858
Epoch 14
Validation accuracy:0.7703826955074875
Testing accuracy:0.7785714285714286
Epoch 15
Validation accuracy:0.7454242928452579
Testing accuracy:0.7651785714285714
Epoch 16
Validation accuracy:0.7720465890183028
Testing accuracy:0.7839285714285714
Epoch 17
Validation accuracy:0.7687188019966722
Testing accuracy:0.76875
Epoch 18
Validation accuracy:0.7670549084858569
Testing accuracy:0.7785714285714286
Epoch 19
Validation accuracy:0.757071547420965
Testing accuracy:0.7651785714285714
Epoch 20
Validation accuracy:0.7587354409317804
Testing accuracy:0.7723214285714286
Epoch 21
Validation accuracy:0.7637271214642263
Testing accuracy:0.7696428571428572
Epoch 22
Validation accuracy:0.7753743760399334
Testing accuracy:0.7660714285714286
Epoch 23
Validation accuracy:0.7504159733777038
Testing accuracy:0.7607142857142857
Epoch 24
Validation accuracy:0.7504159733777038
Testing accuracy:0.7642857142857142
Epoch 25
Validation accuracy:0.7653910149750416
Testing accuracy:0.7741071428571429
Epoch 26
Validation accuracy:0.762063227953411
Testing accuracy:0.7714285714285715
Epoch 27
Validation accuracy:0.762063227953411
Testing accuracy:0.7651785714285714
Epoch 28
Validation accuracy:0.7637271214642263
Testing accuracy:0.78125
Epoch 29
Validation accuracy:0.7554076539101497
Testing accuracy:0.7580357142857143
