Start Experiment
Epoch 0
Validation accuracy:0.6056572379367721
Testing accuracy:0.65
Epoch 1
Validation accuracy:0.23793677204658903
Testing accuracy:0.175
Epoch 2
Validation accuracy:0.6056572379367721
Testing accuracy:0.65
Epoch 3
Validation accuracy:0.23793677204658903
Testing accuracy:0.175
Epoch 4
Validation accuracy:0.15640599001663893
Testing accuracy:0.175
Epoch 5
Validation accuracy:0.15640599001663893
Testing accuracy:0.175
Epoch 6
Validation accuracy:0.23793677204658903
Testing accuracy:0.175
Epoch 7
Validation accuracy:0.23793677204658903
Testing accuracy:0.175
Epoch 8
Validation accuracy:0.15640599001663893
Testing accuracy:0.175
Epoch 9
Validation accuracy:0.23793677204658903
Testing accuracy:0.175
Epoch 10
Validation accuracy:0.6056572379367721
Testing accuracy:0.65
Epoch 11
Validation accuracy:0.15640599001663893
Testing accuracy:0.175
Epoch 12
Validation accuracy:0.15640599001663893
Testing accuracy:0.175
