Start Experiment
Epoch 0
Validation accuracy:0.7221297836938436
Testing accuracy:0.7651785714285714
Epoch 1
Validation accuracy:0.7071547420965059
Testing accuracy:0.7366071428571429
Epoch 2
Validation accuracy:0.7054908485856906
Testing accuracy:0.7392857142857143
Epoch 3
Validation accuracy:0.6871880199667221
Testing accuracy:0.7553571428571428
Epoch 4
Validation accuracy:0.7104825291181365
Testing accuracy:0.7535714285714286
Epoch 5
Validation accuracy:0.7154742096505824
Testing accuracy:0.75
Epoch 6
Validation accuracy:0.7337770382695508
Testing accuracy:0.7410714285714286
Epoch 7
Validation accuracy:0.7587354409317804
Testing accuracy:0.7580357142857143
Epoch 8
Validation accuracy:0.7687188019966722
Testing accuracy:0.76875
Epoch 9
Validation accuracy:0.7554076539101497
Testing accuracy:0.7678571428571429
Epoch 10
Validation accuracy:0.7603993344425957
Testing accuracy:0.75625
Epoch 11
Validation accuracy:0.7737104825291181
Testing accuracy:0.7696428571428572
Epoch 12
Validation accuracy:0.7720465890183028
Testing accuracy:0.7910714285714285
Epoch 13
Validation accuracy:0.7953410981697171
Testing accuracy:0.7830357142857143
Epoch 14
Validation accuracy:0.7737104825291181
Testing accuracy:0.7758928571428572
Epoch 15
Validation accuracy:0.7803660565723793
Testing accuracy:0.7848214285714286
Epoch 16
Validation accuracy:0.7637271214642263
Testing accuracy:0.7776785714285714
Epoch 17
Validation accuracy:0.762063227953411
Testing accuracy:0.7633928571428571
Epoch 18
Validation accuracy:0.778702163061564
Testing accuracy:0.7919642857142857
Epoch 19
Validation accuracy:0.7554076539101497
Testing accuracy:0.7794642857142857
Epoch 20
Validation accuracy:0.7687188019966722
Testing accuracy:0.7919642857142857
Epoch 21
Validation accuracy:0.7753743760399334
Testing accuracy:0.79375
Epoch 22
Validation accuracy:0.7703826955074875
Testing accuracy:0.7758928571428572
Epoch 23
Validation accuracy:0.7737104825291181
Testing accuracy:0.7848214285714286
Epoch 24
Validation accuracy:0.78369384359401
Testing accuracy:0.7883928571428571
Epoch 25
Validation accuracy:0.7853577371048253
Testing accuracy:0.7857142857142857
Epoch 26
Validation accuracy:0.7970049916805324
Testing accuracy:0.7910714285714285
Epoch 27
Validation accuracy:0.7936772046589018
Testing accuracy:0.7767857142857143
Epoch 28
Validation accuracy:0.7886855241264559
Testing accuracy:0.7991071428571429
Epoch 29
Validation accuracy:0.7870216306156406
Testing accuracy:0.7875
